Year,Intervention,InterventionNum,Month,Season,SeasonNum,AvgTDHK,AvgTCTG,AvgTSYL,AvgTMym,AvgTRaj,AvgTRang,AvgTBar,AvgTKhul,AvgT,Rainfall,RabiesCase,ARV,MDV,RabiesCasePlus1
2017,After,2,10,Monsoon,2,26.43806452,26.96935484,26.20483871,26.29322581,26.40806452,26.46354839,26.92096774,26.52129032,26.52741935,411.47,7,20150,0,8
2017,After,2,11,Winter,3,22.286,24.15,22.805,22.159,21.55933333,21.827,23.09266667,21.78733333,22.45829167,18.69,7,20800,0,8
2017,After,2,12,Winter,3,20.05032258,21.07774194,19.85645161,19.84645161,18.53741935,19.40354839,20.43677419,19.08516129,19.78673387,129.76,7,21981,0,8
2018,After,2,1,Winter,3,15.39129032,17.05870968,16.24903226,15.30258065,14.39322581,15.03096774,16.46258065,15.34967742,15.65475806,5.47,7,22250,0,8
2018,After,2,2,Winter,3,21.33357143,21.52035714,19.89142857,20.88428571,20.85035714,20.9875,21.93678571,21.87857143,21.16035714,29.56,5,22100,0,6
2018,After,2,3,Pre-monsoon,1,26.54,25.97290323,23.97741935,25.93322581,26.33129032,26.15064516,26.89967742,27.87580645,26.21012097,62.41,4,20160,38584,5
2018,After,2,4,Pre-monsoon,1,27.45533333,27.14333333,25.91766667,27.02166667,27.89033333,27.602,27.546,28.349,27.36566667,411.17,4,20550,93295,5
2018,After,2,5,Pre-monsoon,1,27.65935484,27.52225806,26.78387097,27.49806452,28.42645161,27.88354839,27.90322581,28.61387097,27.78633065,625.67,5,19258,69300,6
2018,After,2,6,Monsoon,2,28.423,28.087,28.18766667,28.519,29.526,29.32,28.37333333,28.55166667,28.62345833,483.28,3,17450,58996,4
2018,After,2,7,Monsoon,2,28.62612903,28.17516129,28.45580645,28.74903226,29.20032258,29.23354839,28.41774194,28.52709677,28.67310484,480.24,5,16500,0,6
2018,After,2,8,Monsoon,2,28.45419355,28.19774194,28.39967742,28.53709677,28.85483871,29.03935484,28.33322581,28.32129032,28.51717742,279.99,4,15358,6302,5
2018,After,2,9,Monsoon,2,28.234,28.22766667,27.72666667,28.12533333,28.18333333,28.30133333,28.237,27.93866667,28.12175,204.46,4,19043,12310,5
2018,After,2,10,Monsoon,2,25.66225806,26.51677419,24.97483871,25.28225806,25.77483871,25.67387097,26.58,25.84516129,25.78875,71.17,7,21489,48752,8
